label,phase,packet_bytes,num_packets,direction,window_cycles,goodput_bytes,in_beats,out_beats,bytes_per_cycle,sustained_bytes_per_cycle,packet_period_cycles,steady_in_bytes_per_cycle,steady_out_bytes_per_cycle,line_rate_frac,gbps_at_fmax,gbps_at_target,in_duty,out_duty,in_stall_frac,cold_head_latency,head_med,total_med,total_max,timed_out
shared-80mhz-probed,b2b-16,16,4,encrypt,149,64,4,8,0.42953020134228187,0.5161290322580645,31.0,,,0.03225806451612903,0.3303225806451613,0.3303225806451613,0.026845637583892617,0.053691275167785234,0.040268456375838924,41,85.5,99.5,141,False
shared-80mhz-probed,b2b-16,16,4,decrypt,246,64,8,4,0.2601626016260163,0.40336134453781514,39.666666666666664,,,0.025210084033613446,0.2581512605042017,0.2581512605042017,0.032520325203252036,0.016260162601626018,0.8455284552845529,126,97.5,97.5,127,False
shared-80mhz-probed,b2b-64,64,4,encrypt,223,256,16,20,1.147982062780269,1.3061224489795917,49.0,,1.6326530612244898,0.08163265306122448,0.8359183673469387,0.8359183673469387,0.07174887892376682,0.08968609865470852,0.03139013452914798,43,109.5,141.5,206,False
shared-80mhz-probed,b2b-64,64,4,decrypt,359,256,20,16,0.713091922005571,1.1098265895953758,57.666666666666664,0.8888888888888888,,0.06936416184971099,0.7102890173410406,0.7102890173410406,0.055710306406685235,0.04456824512534819,0.8523676880222841,182,134.5,137.5,186,False
shared-80mhz-probed,b2b-256,256,4,encrypt,511,1024,64,68,2.003913894324853,2.115702479338843,121.0,14.285714285714286,2.267716535433071,0.1322314049586777,1.3540495867768596,1.3540495867768596,0.12524461839530332,0.13307240704500978,0.015655577299412915,43,199.5,303.5,458,False
shared-80mhz-probed,b2b-256,256,4,decrypt,874,1024,68,64,1.17162471395881,1.979381443298969,129.33333333333334,1.180327868852459,2.056555269922879,0.12371134020618556,1.26680412371134,1.26680412371134,0.07780320366132723,0.07322654462242563,0.8844393592677345,353,249.5,323.5,486,False
shared-80mhz-probed,b2b-1024,1024,4,encrypt,1691,4096,256,260,2.4222353636901244,2.4478087649402394,418.3333333333333,2.4916030534351146,2.4958553127354937,0.15298804780876496,1.566597609561753,1.566597609561753,0.15138971023063277,0.1537551744529864,0.6552335895919574,43,348.5,742.5,1002,False
shared-80mhz-probed,b2b-1024,1024,4,decrypt,2285,4096,260,256,1.7925601750547047,1.823145400593472,561.6666666666666,1.7787325456498388,1.923394225103123,0.113946587537092,1.166813056379822,1.166813056379822,0.1137855579868709,0.11203501094091904,0.8512035010940919,431,515.5,629.5,986,False
shared-80mhz-probed,b2b-1420,1420,4,encrypt,2288,5680,356,360,2.4825174825174825,2.5103123158515026,565.6666666666666,3.0193204530313125,2.5402107598447032,0.1568945197407189,1.6065998821449616,1.6065998821449616,0.1555944055944056,0.15734265734265734,0.6145104895104895,43,517.0,1060.0,1090,False
shared-80mhz-probed,b2b-1420,1420,4,decrypt,3553,5680,360,356,1.5986490289895863,1.6556548775748154,857.6666666666666,1.53485254691689,1.563297688858227,0.10347842984842597,1.0596191216478819,1.0596191216478819,0.10132282578103012,0.10019701660568534,0.8691246833661694,582,610.5,852.5,1797,False
shared-80mhz-probed,peak-1920,1920,4,encrypt,3051,7680,480,484,2.517207472959685,2.5318681318681318,758.3333333333334,2.569392033542977,2.555233760860571,0.15824175824175823,1.6203956043956043,1.6203956043956043,0.15732546705998032,0.1586365126188135,0.688298918387414,43,262.0,990.0,1241,False
shared-80mhz-probed,peak-1920,1920,4,decrypt,4201,7680,484,480,1.8281361580576054,1.8455623197693047,1040.3333333333333,1.7891077636152954,1.8402402402402402,0.11534764498558155,1.181159884652355,1.181159884652355,0.11521066412758867,0.11425850987860034,0.8524160914068079,774,918.5,1130.5,1831,False
