label,phase,packet_bytes,tap,kind,cycles,xfer_cycles,stall_cycles,starved_cycles,idle_cycles,accept_rate,service_period_cycles,beats_per_cycle,bytes_per_cycle,stall_frac,starve_frac,dominant_state
shared-80mhz-probed,b2b-16,16,encrypt/poly1305.from_compute,handshake,254,16,0,238,0,1.0,1.0,0.06299212598425197,,0.0,0.937007874015748,
shared-80mhz-probed,b2b-16,16,encrypt/poly1305.fsm,state,254,,,,,,,,,,,IDLE
shared-80mhz-probed,b2b-16,16,encrypt/poly1305.key_in,handshake,254,4,86,127,37,0.044444444444444446,22.5,0.015748031496062992,,0.33858267716535434,0.5,
shared-80mhz-probed,b2b-16,16,encrypt/poly1305.tag_out,handshake,254,4,0,52,198,1.0,1.0,0.015748031496062992,,0.0,0.2047244094488189,
shared-80mhz-probed,b2b-16,16,encrypt/poly1305.to_compute,handshake,254,16,0,158,80,1.0,1.0,0.06299212598425197,,0.0,0.6220472440944882,
shared-80mhz-probed,b2b-16,16,encrypt/prep.axis_in,handshake,254,4,52,0,198,0.07142857142857142,14.0,0.015748031496062992,0.25196850393700787,0.2047244094488189,0.0,
shared-80mhz-probed,b2b-16,16,encrypt/prep.axis_out,handshake,254,16,60,19,159,0.21052631578947367,4.75,0.06299212598425197,1.0078740157480315,0.23622047244094488,0.07480314960629922,
shared-80mhz-probed,b2b-16,16,encrypt/prep.fsm,state,254,,,,,,,,,,,IDLE
shared-80mhz-probed,b2b-16,16,shared/pipe.arb,arb,254,,,,,,,,,,,
shared-80mhz-probed,b2b-16,16,shared/pipe.dec_in,handshake,254,8,8,118,120,0.5,2.0,0.031496062992125984,,0.031496062992125984,0.4645669291338583,
shared-80mhz-probed,b2b-16,16,shared/pipe.dec_out,handshake,254,8,0,246,0,1.0,1.0,0.031496062992125984,,0.0,0.968503937007874,
shared-80mhz-probed,b2b-16,16,shared/pipe.enc_in,handshake,254,8,8,119,119,0.5,2.0,0.031496062992125984,,0.031496062992125984,0.468503937007874,
shared-80mhz-probed,b2b-16,16,shared/pipe.enc_out,handshake,254,8,86,130,30,0.0851063829787234,11.75,0.031496062992125984,,0.33858267716535434,0.5118110236220472,
shared-80mhz-probed,b2b-64,64,decrypt/chacha20.axis_in,handshake,367,16,8,304,39,0.6666666666666666,1.5,0.043596730245231606,0.6975476839237057,0.021798365122615803,0.8283378746594006,
shared-80mhz-probed,b2b-64,64,decrypt/chacha20.axis_out,handshake,367,16,0,351,0,1.0,1.0,0.043596730245231606,0.6975476839237057,0.0,0.9564032697547684,
shared-80mhz-probed,b2b-64,64,decrypt/chacha20.from_pipeline,handshake,367,8,0,355,4,1.0,1.0,0.021798365122615803,,0.0,0.9673024523160763,
shared-80mhz-probed,b2b-64,64,decrypt/chacha20.in_state,state,367,,,,,,,,,,,PLAINTEXT
shared-80mhz-probed,b2b-64,64,decrypt/chacha20.key_out,handshake,367,4,0,187,176,1.0,1.0,0.010899182561307902,,0.0,0.5095367847411444,
shared-80mhz-probed,b2b-64,64,decrypt/chacha20.out_state,state,367,,,,,,,,,,,PLAINTEXT
shared-80mhz-probed,b2b-64,64,decrypt/chacha20.to_pipeline,handshake,367,8,8,176,175,0.5,2.0,0.021798365122615803,,0.021798365122615803,0.47956403269754766,
shared-80mhz-probed,b2b-64,64,decrypt/poly1305.data_in,handshake,367,28,299,0,40,0.0856269113149847,11.678571428571429,0.07629427792915532,1.220708446866485,0.8147138964577657,0.0,
shared-80mhz-probed,b2b-64,64,decrypt/poly1305.from_compute,handshake,367,28,0,339,0,1.0,1.0,0.07629427792915532,,0.0,0.9237057220708447,
shared-80mhz-probed,b2b-64,64,decrypt/poly1305.fsm,state,367,,,,,,,,,,,IDLE
shared-80mhz-probed,b2b-64,64,decrypt/poly1305.key_in,handshake,367,4,0,187,176,1.0,1.0,0.010899182561307902,,0.0,0.5095367847411444,
shared-80mhz-probed,b2b-64,64,decrypt/poly1305.tag_out,handshake,367,4,0,48,315,1.0,1.0,0.010899182561307902,,0.0,0.1307901907356948,
