label,phase,packet_bytes,direction,block,cycles,beats,bytes_per_cycle,ceiling_bytes_per_cycle,service_period_cycles,accept_rate,in_stall_frac,in_starve_frac,out_stall_frac,dominant_state
shared-80mhz-probed,b2b-16,16,encrypt,chacha20,254,4,0.25196850393700787,6.4,2.5,0.4,0.023622047244094488,0.011811023622047244,0.2047244094488189,POLY_KEY
shared-80mhz-probed,b2b-16,16,encrypt,prep_auth_data,254,4,0.25196850393700787,1.1428571428571428,14.0,0.07142857142857142,0.2047244094488189,0.0,0.23622047244094488,IDLE
shared-80mhz-probed,b2b-16,16,encrypt,poly1305,254,16,1.0078740157480315,3.3684210526315788,4.75,0.21052631578947367,0.23622047244094488,0.07480314960629922,0.0,IDLE
shared-80mhz-probed,b2b-16,16,encrypt,append_auth_tag,254,4,0.25196850393700787,16.0,1.0,1.0,0.0,0.7637795275590551,0.0,CIPHERTEXT
shared-80mhz-probed,b2b-16,16,decrypt,chacha20,254,4,0.25196850393700787,5.333333333333333,3.0,0.3333333333333333,0.031496062992125984,0.8110236220472441,0.0,PLAINTEXT
shared-80mhz-probed,b2b-16,16,decrypt,prep_auth_data,254,4,0.25196850393700787,0.3018867924528302,53.0,0.018867924528301886,0.8188976377952756,0.0,0.7913385826771654,AAD_STATE
shared-80mhz-probed,b2b-16,16,decrypt,poly1305,254,16,1.0078740157480315,1.1797235023041475,13.5625,0.07373271889400922,0.7913385826771654,0.0,0.0,IDLE
shared-80mhz-probed,b2b-16,16,decrypt,strip_auth_tag,254,8,0.5039370078740157,0.5925925925925926,27.0,0.037037037037037035,0.8188976377952756,0.14960629921259844,0.8188976377952756,
shared-80mhz-probed,b2b-16,16,decrypt,wait_to_verify,254,4,0.25196850393700787,16.0,1.0,1.0,0.0,0.984251968503937,0.0,WAIT_TO_VERIFY_BIT
shared-80mhz-probed,b2b-16,16,decrypt,verify,254,4,,16.0,1.0,1.0,0.0,0.1889763779527559,0.0,TAKE_AUTH_TAG
shared-80mhz-probed,b2b-64,64,encrypt,chacha20,367,16,0.6975476839237057,11.130434782608695,1.4375,0.6956521739130435,0.01907356948228883,0.005449591280653951,0.30517711171662126,POLY_KEY
